name,ion,rest_wavelength_angstrom,oscillator_strength,damping_constant_s,atomic_mass_amu,q_coefficient_cminv,group,reference
??_1215,??,1215.67010,0.4164,626500000.0,1.0,,??,No ID NOTE:DON'T USE TABS AS SEPARATORS
HI_1215,H I,1215.67010,0.4164,626500000.0,1.00794,,HI,"Morton(03), 2cpts sep by 1.3 km/s, A&G:10.446"
HI_1025,H I,1025.72230,0.07914,189700000.0,1.00794,,HI,"Ly2 f, Gamma C-C Lee et al, in prep 2019"
HI_972,H I,972.53680,0.02901,81270000.0,1.00794,,HI,Ly3
HI_949,H I,949.74310,0.01395,42040000.0,1.00794,,HI,Ly4
HI_937,H I,937.80350,0.007803,24500000.0,1.00794,,HI,Ly5
HI_930,H I,930.74830,0.004817,15510000.0,1.00794,,HI,Ly6
HI_926,H I,926.22570,0.003185,10430000.0,1.00794,,HI,Ly7 Aki = 8.255E6 (< real Gamma)
HI_923,H I,923.15040,0.002217,7344000.0,1.00794,,HI,Ly8 (n=9)
HI_920,H I,920.96310,0.001606,5366000.0,1.00794,,HI,Ly9
HI_919,H I,919.35140,0.001201,4038000.0,1.00794,,HI,Ly10
HI_918,H I,918.12940,0.0009219,3115000.0,1.00794,,HI,Ly11 n=12
HI_917,H I,917.18060,0.0007231,2453000.0,1.00794,,HI,Ly12 13
HI_916,H I,916.42900,0.0005777,1966000.0,1.00794,,HI,Ly13 14
HI_915,H I,915.82400,0.0004689,1600000.0,1.00794,,HI,Ly14
HI_915,H I,915.32900,0.0003858,1319000.0,1.00794,,HI,Ly15 n16
HI_914,H I,914.91900,0.0003213,1100000.0,1.00794,,HI,Ly16 n17
HI_914,H I,914.57600,0.0002704,927500.0,1.00794,,HI,Ly17
HI_914,H I,914.28600,0.0002297,789000.0,1.00794,,HI,Ly18
HI_914,H I,914.03900,0.0001968,676700.0,1.00794,,HI,Ly19
HI_913,H I,913.82600,0.0001699,584800.0,1.00794,,HI,Ly20 (n=21)
HI_913,H I,913.64100,0.0001477,508800.0,1.00794,,HI,Ly21
HI_913,H I,913.48000,0.0001292,445400.0,1.00794,,HI,Ly22
HI_913,H I,913.33900,0.0001136,392100.0,1.00794,,HI,Ly23
HI_913,H I,913.21500,0.0001005,347000.0,1.00794,,HI,Ly24
HI_913,H I,913.10400,8.932e-05,308500.0,1.00794,,HI,Ly25
HI_913,H I,913.00600,7.974e-05,275600.0,1.00794,,HI,Ly26
HI_912,H I,912.91800,7.148e-05,247100.0,1.00794,,HI,Ly27
HI_912,H I,912.83900,6.432e-05,222500.0,1.00794,,HI,Ly28
HI_912,H I,912.76800,5.809e-05,201000.0,1.00794,,HI,Ly29
HI_912,H I,912.70300,5.264e-05,188200.0,1.00794,,HI,Ly30 (n=31) asymtotic f 1.576/n^3 from (so A~1/n3)
HI_912,H I,912.64500,4.8e-05,127700.0,1.00794,,HI,Ly31 (n=32) Aki this one 1934MNRAS..95..101Woolley
HI_911,H I,911.75360,6.3e-18,1.0,1.00794,,HI,Lyman limit
HI2_6564,H I2,6564.62300,0.6958,64650000.0,,,HI2,n=2 level
HI2_4862,H I2,4862.68800,0.1218,20620000.0,,,HI2,
HI2_4341,H I2,4341.69000,0.04437,9425000.0,,,HI2,
DI_1215,D I,1215.33940,0.4165,626700000.0,2.0,,DI,"Morton, C-C Lee f,Gamma"
DI_1025,D I,1025.44330,0.07912,189800000.0,2.0,,DI,""""
DI_972,D I,972.27220,0.029,81290000.0,2.0,,DI,""""
DI_949,D I,949.48470,0.01392,42050000.0,2.0,,DI,""""
DI_937,D I,937.54840,0.007802,24510000.0,2.0,,DI,""""
DI_930,D I,930.49510,0.004815,15510000.0,2.0,,DI,""""
DI_925,D I,925.97370,0.003184,10430000.0,2.0,,DI,""""
DI_922,D I,922.89900,0.002217,7346000.0,2.0,,DI,""""
DI_920,D I,920.71200,0.001606,5367000.0,2.0,,DI,""""
DI_919,D I,919.10200,0.001201,4040000.0,2.0,,DI,""""
DI_917,D I,917.87900,0.0009217,3116000.0,2.0,,DI,""""
DI_916,D I,916.93100,0.0007229,2454000.0,2.0,,DI,""""
DI_916,D I,916.17900,0.0005776,1967000.0,2.0,,DI,""""
DI_915,D I,915.57500,0.0004688,1600000.0,2.0,,DI,""""
DI_915,D I,915.08000,0.0003857,1319000.0,2.0,,DI,""""
HeI_584,HeI,584.33400,0.285,200000000.0,4.002602,,HeI,VBT A&G:9.435
HeI_537,HeI,537.02960,0.0752,200000000.0,4.002602,,HeI,
HeI_522,HeI,522.21280,0.0307,200000000.0,4.002602,,HeI,
HeI_515,HeI,515.61650,0.0154,200000000.0,4.002602,,HeI,
HeII_303,HeII,303.78220,0.416,627000000.0,4.002602,,HeII,VBT
HeII_256,HeII,256.31700,0.079,189700000.0,4.002602,,HeII,
LiI67_9,LiI 67,9.76660,0.249,36890000.0,7.0,,LiI67,M03G
LiI67_9,LiI 67,9.61560,0.498,36900000.0,7.0,,LiI67,M03g
BeII_3131,BeII,3131.32920,0.3321,113000000.0,9.012182,,BeII,"M03g (gamma in table, not Aki) A&G:-0.137"
BeII_3131,BeII,3131.97420,0.166,112900000.0,9.012182,,BeII,M03g M03=Morton2003
BeII_1036,BeII,1036.31900,0.02769,184600000.0,9.012182,,BeII,M03g
BeII_1036,BeII,1036.29900,0.05538,184600000.0,9.012182,,BeII,M03g
BII_1362,B II,1362.46300,0.996,1190000000.0,10.811,,BII,M03g A&G:1.326
BIII_2066,B III,2066.43600,0.238,100000000.0,,,BIII,Kurucz
BIII_2067,B III,2067.89300,0.119,100000000.0,,,BIII,Kurucz
CI_945,C I,945.18800,0.2726,100000000.0,12.011,130.0,CI,Berengut arXiv:1011.4136
CI_1103,C I,1103.62900,0.01445,0.0,12.011,,CI,From Alessandra Aloisi
CI_1112,C I,1112.26900,0.01606,0.0,12.011,,CI,From Alessandra Aloisi
CI_1114,C I,1114.62800,0.01129,0.0,12.011,,CI,From Alessandra Aloisi
CI_1139,C I,1139.08670,0.000542,929000.0,12.011,,CI,M03-22.01 A&G:7.004
CI*_1139,C I*,1139.29980,0.00121,6240000.0,,,CI*,M03
CI_1139,C I,1139.79190,0.0123,21000000.0,12.011,,CI,M03-22u
CI*_1139,C I*,1139.51450,0.00881,27200000.0,,,CI*,M03
CI*_1140,C I*,1140.00530,0.00184,9440000.0,,,CI*,M03
CI**_1139,C I**,1139.81210,0.00806,29600000.0,,,CI**,M03
CI**_1139,C I**,1139.86510,0.000252,1300000.0,,,CI**,M03
CI_1140,C I,1140.00960,0.00356,6090000.0,12.011,,CI,M03-21.01
CI*_1139,C I*,1139.76590,0.0015,4620000.0,,,CI*,M03
CI**_1140,C I**,1140.11670,0.00358,18400000.0,,,CI**,M03
CI*_1140,C I*,1140.35760,0.00207,6380000.0,,,CI*,M03-21u
CI**_1140,C I**,1140.64150,0.00172,6280000.0,,,CI**,M03
CI_1155,C I,1155.80920,0.00492,8190000.0,12.011,,CI,M03-19u
CI*_1155,C I*,1155.97930,0.0025,37400000.0,,,CI*,M03
CI*_1156,C I*,1156.02860,0.00227,11300000.0,,,CI*,M03
CI*_1156,C I*,1156.19920,0.000799,2390000.0,,,CI*,M03
CI**_1156,C I**,1156.38950,0.00181,15100000.0,,,CI**,M03
CI**_1156,C I**,1156.56030,0.00539,26900000.0,,,CI**,M03
CI_1157,C I,1157.90970,0.0212,35100000.0,12.011,,CI,M03-16u
CI*_1156,C I*,1156.76970,0.00878,26200000.0,,,CI*,M03
CI*_1158,C I*,1158.12990,0.00397,19700000.0,,,CI*,M03
CI**_1158,C I**,1158.01880,0.0157,55600000.0,,,CI**,M03
CI**_1158,C I**,1158.13170,0.00519,25800000.0,,,CI**,M03
CI_1158,C I,1158.32400,0.00655,10900000.0,12.011,,CI,M03-15.01 Aki
CI*_1158,C I*,1158.54430,0.000675,3350000.0,,,CI*,M03 Aki
CI*_1158,C I*,1158.67440,0.00147,21900000.0,,,CI*,M03 Aki
CI**_1158,C I**,1158.39710,0.00165,8190000.0,,,CI**,M03 Aki
CI**_1158,C I**,1158.90680,0.00101,8360000.0,,,CI**,M03 Aki
CI_1188,C I,1188.83290,0.0124,19500000.0,12.011,,CI,M03-14u Aki
CI*_1188,C I*,1188.99280,0.00507,71700000.0,,,CI*,M03g Aki
CI*_1189,C I*,1189.06500,0.00426,20100000.0,,,CI*,M03g Aki
CI*_1189,C I*,1189.24880,0.00385,10900000.0,,,CI*,M03g Aki
CI**_1189,C I**,1189.44680,0.00376,29600000.0,,,CI**,M03g Aki
CI**_1189,C I**,1189.63070,0.0112,52700000.0,,,CI**,M03g Aki
CI_1192,C I,1192.21580,0.00137,2150000.0,12.011,,CI,M03-12u Aki
CI*_1192,C I*,1192.44920,0.00162,7600000.0,,,CI*,M03
CI_1193,C I,1193.03000,0.0409,63900000.0,12.011,,CI,M03-11u Aki
CI*_1193,C I*,1193.00850,0.0281,79000000.0,,,CI*,M03g Aki
CI*_1193,C I*,1193.26370,0.00913,42900000.0,,,CI*,M03g Aki
CI**_1193,C I**,1193.24010,0.0332,111000000.0,,,CI**,M03g Aki
CI**_1193,C I**,1193.39280,0.00738,34600000.0,,,CI**,M03g Aki
CI**_1193,C I**,1193.64830,0.000288,2250000.0,,,CI**,M03g Aki
CI*_1194,C I*,1194.30100,0.00905,4100000.0,,,CI*,M03-10u Aki
CI**_1194,C I**,1194.48850,0.00203,6770000.0,,,CI**,M03-10u Aki
CI_1193,C I,1193.99540,0.0124,19400000.0,12.011,,CI,M03-9.02 Aki
CI*_1193,C I*,1193.67860,0.00905,25400000.0,,,CI*,M03g Aki
CI*_1194,C I*,1194.22950,0.00178,8330000.0,,,CI*,M03g Aki
CI*_1194,C I*,1194.40550,0.00314,44000000.0,,,CI*,M03g Aki
CI**_1194,C I**,1194.06340,0.00636,29800000.0,,,CI**,M03g Aki
CI**_1194,C I**,1194.61460,0.00227,17700000.0,,,CI**,M03g Aki
CI_1260,C I,1260.73510,0.0507,240000000.0,12.011,,CI,M03g-9u
CI*_1260,C I*,1260.92620,0.0175,241000000.0,,,CI*,M03g
CI*_1260,C I*,1260.99610,0.0134,240000000.0,,,CI*,M03g
CI*_1261,C I*,1261.12240,0.0202,236000000.0,,,CI*,M03g
CI**_1261,C I**,1261.42550,0.0131,240000000.0,,,CI**,M03g
CI**_1261,C I**,1261.55190,0.0391,236000000.0,,,CI**,M03g
CI_1270,C I,1270.14320,0.000386,531000.0,12.011,,CI,M03-8.01u Aki
CI*_1270,C I*,1270.40810,4.51e-05,186000.0,,,CI*,M03 Aki
CI**_1270,C I**,1270.84400,1.45e-08,99.7,,,CI**,M03 Aki
CI_1276,C I,1276.48220,0.00589,8030000.0,12.011,,CI,M03-7.01u
CI*_1276,C I*,1276.74980,0.00308,12600000.0,,,CI*,M03
CI**_1277,C I**,1277.19000,0.000322,2200000.0,,,CI**,M03
CI_1277,C I,1277.24520,0.0853,232000000.0,12.011,,CI,M03g-7u
CI*_1277,C I*,1277.28270,0.0666,246000000.0,,,CI*,M03g
CI*_1277,C I*,1277.51310,0.021,232000000.0,,,CI*,M03g
CI**_1277,C I**,1277.55010,0.0763,244000000.0,,,CI**,M03g
CI**_1277,C I**,1277.72330,0.0153,246000000.0,,,CI**,M03g
CI**_1277,C I**,1277.95390,0.000817,232000000.0,,,CI**,M03g
CI*_1279,C I*,1279.05620,0.000708,1730000.0,,,CI*,M03-6u Aki
CI**_1279,C I**,1279.22900,0.00214,6240000.0,,,CI**,M03 Aki
CI**_1279,C I**,1279.49800,0.000456,1860000.0,,,CI**,M03 Aki
CI_1280,C I,1280.13520,0.0263,106000000.0,12.011,,CI,M03g-5u
CI*_1279,C I*,1279.89070,0.0143,117000000.0,,,CI*,M03g
CI*_1280,C I*,1280.40430,0.0044,106000000.0,,,CI*,M03g
