#wave,Ion,Ei (eV),Ek (eV),Configurations,Terms,Ji - Jk,Type  (if not E1),Creation IP (eV),Observation References,Type,physical_basis,intrinsic_ratio,is_doublet,doublet_id,doublet_member
770.409,Ne VIII,0,16.093,1s22s - 1s22p,2S - 2P0,1/2 - 3/2,E1,207.27,Z97,resonance,f-value,1,TRUE,Ne VIII|1s22s - 1s22p|2S - 2P0,1
780.324,Ne VIII,0,15.889,1s22s - 1s22p,2S - 2P0,1/2 - 1/2,E1,207.27,Z97,resonance,f-value,0.5,TRUE,Ne VIII|1s22s - 1s22p|2S - 2P0,2
937.814,Lyε,0,13.221,1s - 6,2S -,1/2 -,E1,0,VB01,-,-,-,FALSE,-,-
949.742,Lyδ,0,13.055,1s - 5,2S -,1/2 -,E1,0,VB01,-,-,-,FALSE,-,-
977.03,C III,0,12.69,1s22s2 - 1s22s2p,1S - 1P0,0 - 1,E1,24.38,Z97,-,-,-,FALSE,-,-
989.79,N III,0,12.526,2s22p - 2s2p2,2P0 - 2D,1/2 - 3/2,E1,29.6,Z97,-,-,-,FALSE,-,-
991.514,N III,0.022,12.526,2s22p - 2s2p2,2P0 - 2D,3/2 - 3/2,E1,29.6,Z97,-,-,-,FALSE,-,-
991.579,N III,0.022,12.525,2s22p - 2s2p2,2P0 - 2D,3/2 - 5/2,E1,29.6,Z97,-,-,-,FALSE,-,-
1025.722,Lyβ,0,12.088,1s - 3,2S -,1/2 -,E1,0,VB01,-,-,-,FALSE,-,-
1031.912,O VI,0,12.015,1s22s - 1s22p,2S - 2Po,1/2-3/2,E1,113.9,VB01,resonance,f-value,1,TRUE,O VI|1s22s - 1s22p|2S - 2Po,1
1037.613,O VI,0,11.949,1s22s - 1s22p,2S - 2Po,1/2-1/2,E1,113.9,VB01,resonance,f-value,0.5,TRUE,O VI|1s22s - 1s22p|2S - 2Po,2
1066.66,Ar I,0,11.624,3s23p6 - 3s23p5(2P03/2)4s,1S - 2[3/2]0,0 - 1,E1,0,Z97,-,-,-,FALSE,-,-
